name                              | abbrev | utc_offset | is_dst
 America/Catamarca                | -03    | -03:00:00  | f
 America/Antigua                  | AST    | -04:00:00  | f
 America/Porto_Velho              | -04    | -04:00:00  | f
 America/Rosario                  | -03    | -03:00:00  | f
 America/Chicago                  | CDT    | -05:00:00  | t
 America/Creston                  | MST    | -07:00:00  | f
 America/Managua                  | CST    | -06:00:00  | f
 America/Nassau                   | EDT    | -04:00:00  | t
 America/Bogota                   | -05    | -05:00:00  | f
 America/Cancun                   | EST    | -05:00:00  | f
 America/Chihuahua                | MST    | -07:00:00  | f
 America/Campo_Grande             | -04    | -04:00:00  | f
 America/Halifax                  | ADT    | -03:00:00  | t
 America/Boise                    | MDT    | -06:00:00  | t
 America/Montreal                 | EDT    | -04:00:00  | t
 America/Goose_Bay                | ADT    | -03:00:00  | t
 America/Sao_Paulo                | -03    | -03:00:00  | f
 America/Blanc-Sablon             | AST    | -04:00:00  | f
 America/Phoenix                  | MST    | -07:00:00  | f
 America/Atikokan                 | EST    | -05:00:00  | f
 America/Cayenne                  | -03    | -03:00:00  | f
 America/Santa_Isabel             | PDT    | -07:00:00  | t
 America/Boa_Vista                | -04    | -04:00:00  | f
 America/Bahia_Banderas           | CST    | -06:00:00  | f
 America/Indiana/Vevay            | EDT    | -04:00:00  | t
 America/Indiana/Indianapolis     | EDT    | -04:00:00  | t
 America/Indiana/Winamac          | EDT    | -04:00:00  | t
 America/Indiana/Tell_City        | CDT    | -05:00:00  | t
 America/Indiana/Petersburg       | EDT    | -04:00:00  | t
 America/Indiana/Vincennes        | EDT    | -04:00:00  | t
 America/Indiana/Knox             | CDT    | -05:00:00  | t
 America/Indiana/Marengo          | EDT    | -04:00:00  | t
 America/Indianapolis             | EDT    | -04:00:00  | t
 America/Dominica                 | AST    | -04:00:00  | f
 America/Argentina/Salta          | -03    | -03:00:00  | f
 America/Argentina/Ushuaia        | -03    | -03:00:00  | f
 America/Argentina/Catamarca      | -03    | -03:00:00  | f
 America/Argentina/ComodRivadavia | -03    | -03:00:00  | f
 America/Argentina/San_Juan       | -03    | -03:00:00  | f
 America/Argentina/San_Luis       | -03    | -03:00:00  | f
 America/Argentina/Rio_Gallegos   | -03    | -03:00:00  | f
 America/Argentina/Jujuy          | -03    | -03:00:00  | f
 America/Argentina/Tucuman        | -03    | -03:00:00  | f
 America/Argentina/Buenos_Aires   | -03    | -03:00:00  | f
 America/Argentina/Cordoba        | -03    | -03:00:00  | f
 America/Argentina/La_Rioja       | -03    | -03:00:00  | f
 America/Argentina/Mendoza        | -03    | -03:00:00  | f
 America/La_Paz                   | -04    | -04:00:00  | f
 America/Dawson                   | PDT    | -07:00:00  | t
 America/Moncton                  | ADT    | -03:00:00  | t
 America/Matamoros                | CDT    | -05:00:00  | t
 America/St_Vincent               | AST    | -04:00:00  | f
 America/Regina                   | CST    | -06:00:00  | f
 America/Yellowknife              | MDT    | -06:00:00  | t
 America/Rainy_River              | CDT    | -05:00:00  | t
 America/Kralendijk               | AST    | -04:00:00  | f
 America/Monterrey                | CST    | -06:00:00  | f
 America/Jamaica                  | EST    | -05:00:00  | f
 America/Havana                   | CDT    | -04:00:00  | t
 America/Tegucigalpa              | CST    | -06:00:00  | f
 America/Guayaquil                | -05    | -05:00:00  | f
 America/Metlakatla               | AKDT   | -08:00:00  | t
 America/Mazatlan                 | MST    | -07:00:00  | f
 America/Belize                   | CST    | -06:00:00  | f
 America/Knox_IN                  | CDT    | -05:00:00  | t
 America/Cuiaba                   | -04    | -04:00:00  | f
 America/Merida                   | CST    | -06:00:00  | f
 America/Jujuy                    | -03    | -03:00:00  | f
 America/Cayman                   | EST    | -05:00:00  | f
 America/Belem                    | -03    | -03:00:00  | f
 America/Eirunepe                 | -05    | -05:00:00  | f
 America/St_Lucia                 | AST    | -04:00:00  | f
 America/Bahia                    | -03    | -03:00:00  | f
 America/Whitehorse               | PDT    | -07:00:00  | t
 America/Tortola                  | AST    | -04:00:00  | f
 America/Vancouver                | PDT    | -07:00:00  | t
 America/Inuvik                   | MDT    | -06:00:00  | t
 America/Port-au-Prince           | EDT    | -04:00:00  | t
 America/Fortaleza                | -03    | -03:00:00  | f
 America/Noronha                  | -02    | -02:00:00  | f
 America/Buenos_Aires             | -03    | -03:00:00  | f
 America/Los_Angeles              | PDT    | -07:00:00  | t
 America/El_Salvador              | CST    | -06:00:00  | f
 America/Denver                   | MDT    | -06:00:00  | t
 America/Fort_Wayne               | EDT    | -04:00:00  | t
 America/Kentucky/Louisville      | EDT    | -04:00:00  | t
 America/Kentucky/Monticello      | EDT    | -04:00:00  | t
