name                              | abbrev | utc_offset | is_dst
 Israel                           | IST    | 02:00:00   | f
 Africa/Sao_Tome                  | GMT    | 00:00:00   | f
 Africa/Conakry                   | GMT    | 00:00:00   | f
 Africa/Dakar                     | GMT    | 00:00:00   | f
 Africa/Ndjamena                  | WAT    | 01:00:00   | f
 Africa/Casablanca                | +01    | 01:00:00   | f
 Africa/Lome                      | GMT    | 00:00:00   | f
 Africa/Algiers                   | CET    | 01:00:00   | f
 Africa/Mogadishu                 | EAT    | 03:00:00   | f
 Africa/Lagos                     | WAT    | 01:00:00   | f
 Africa/Brazzaville               | WAT    | 01:00:00   | f
 Africa/Timbuktu                  | GMT    | 00:00:00   | f
 Africa/Nouakchott                | GMT    | 00:00:00   | f
 Africa/Maseru                    | SAST   | 02:00:00   | f
 Africa/Libreville                | WAT    | 01:00:00   | f
 Africa/Harare                    | CAT    | 02:00:00   | f
 Africa/Malabo                    | WAT    | 01:00:00   | f
 Africa/Bangui                    | WAT    | 01:00:00   | f
 Africa/Nairobi                   | EAT    | 03:00:00   | f
 Africa/Kinshasa                  | WAT    | 01:00:00   | f
 Africa/Porto-Novo                | WAT    | 01:00:00   | f
 Africa/Cairo                     | EET    | 02:00:00   | f
 Africa/Douala                    | WAT    | 01:00:00   | f
 Africa/Juba                      | EAT    | 03:00:00   | f
 Africa/Gaborone                  | CAT    | 02:00:00   | f
 Africa/Tunis                     | CET    | 01:00:00   | f
 Africa/Kampala                   | EAT    | 03:00:00   | f
 Africa/Mbabane                   | SAST   | 02:00:00   | f
 Africa/Addis_Ababa               | EAT    | 03:00:00   | f
 Africa/Maputo                    | CAT    | 02:00:00   | f
 Africa/Bissau                    | GMT    | 00:00:00   | f
 Africa/Blantyre                  | CAT    | 02:00:00   | f
 Africa/Niamey                    | WAT    | 01:00:00   | f
 Africa/Banjul                    | GMT    | 00:00:00   | f
 Africa/Abidjan                   | GMT    | 00:00:00   | f
 Africa/Asmara                    | EAT    | 03:00:00   | f
 Africa/Bamako                    | GMT    | 00:00:00   | f
 Africa/Ouagadougou               | GMT    | 00:00:00   | f
 Africa/Lusaka                    | CAT    | 02:00:00   | f
 Africa/Luanda                    | WAT    | 01:00:00   | f
 Africa/Asmera                    | EAT    | 03:00:00   | f
 Africa/Lubumbashi                | CAT    | 02:00:00   | f
 Africa/Accra                     | GMT    | 00:00:00   | f
 Africa/Khartoum                  | CAT    | 02:00:00   | f
 Africa/Ceuta                     | CET    | 01:00:00   | f
 Africa/Bujumbura                 | CAT    | 02:00:00   | f
 Africa/Windhoek                  | CAT    | 02:00:00   | f
 Africa/El_Aaiun                  | +01    | 01:00:00   | f
 Africa/Tripoli                   | EET    | 02:00:00   | f
 Africa/Monrovia                  | GMT    | 00:00:00   | f
 Africa/Dar_es_Salaam             | EAT    | 03:00:00   | f
 Africa/Johannesburg              | SAST   | 02:00:00   | f
 Africa/Kigali                    | CAT    | 02:00:00   | f
 Africa/Djibouti                  | EAT    | 03:00:00   | f
 Africa/Freetown                  | GMT    | 00:00:00   | f
 Factory                          | -00    | 00:00:00   | f
 UTC                              | UTC    | 00:00:00   | f
 Chile/EasterIsland               | -05    | -05:00:00  | t
 Chile/Continental                | -03    | -03:00:00  | t
 HST                              | HST    | -10:00:00  | f
 Canada/Atlantic                  | ADT    | -03:00:00  | t
 Canada/Pacific                   | PDT    | -07:00:00  | t
 Canada/Eastern                   | EDT    | -04:00:00  | t
 Canada/Yukon                     | PDT    | -07:00:00  | t
 Canada/Saskatchewan              | CST    | -06:00:00  | f
 Canada/Newfoundland              | NDT    | -02:30:00  | t
 Canada/Central                   | CDT    | -05:00:00  | t
 Canada/Mountain                  | MDT    | -06:00:00  | t
 Iceland                          | GMT    | 00:00:00   | f
(594 rows)
